,Player,Nation,Pos_x,Squad,Age,MP,Starts,Min,90s,Gls,Ast,Height,Foot,Market Value,Year
224,Giovani Lo Celso,ARG,FW,Tottenham,23,28,15,1492,16.6,0,2,177.0,left,29700000.0,2019.0
225,Ruben Loftus-Cheek,ENG,FW,Chelsea,23,7,2,208,2.3,0,1,190.0,right,19800000.0,2019.0
226,Ruben Loftus-Cheek,ENG,FW,Chelsea,23,7,2,208,2.3,0,1,190.0,right,19800000.0,2019.0
227,Kevin Long,IRL,DF,Burnley,28,8,6,564,6.3,0,0,188.0,right,1100000.0,2019.0
228,Shane Long,IRL,FW,Southampton,32,26,15,1395,15.5,2,2,180.0,both,1320000.0,2019.0
229,Sean Longstaff,ENG,MF,Newcastle Utd,21,23,14,1378,15.3,1,1,181.0,right,16500000.0,2019.0
230,Matthew Lowton,ENG,DF,Burnley,30,17,17,1530,17.0,0,1,180.0,right,2750000.0,2019.0
231,David Luiz,BRA,DF,Arsenal,32,33,32,2809,31.2,2,1,189.0,right,4400000.0,2019.0
232,Douglas Luiz,BRA,MF,Aston Villa,21,36,28,2612,29.0,3,2,177.0,right,38500000.0,2019.0
233,John Lundstram,ENG,MF,Sheffield Utd,25,34,26,2458,27.3,5,3,181.0,right,7700000.0,2019.0
234,Alexis Mac Allister,ARG,FW,Brighton,20,9,4,352,3.9,0,0,174.0,right,11000000.0,2019.0
235,James Maddison,ENG,MF,Leicester City,22,31,29,2624,29.2,6,3,175.0,right,60500000.0,2019.0
236,Harry Maguire,ENG,DF,Manchester Utd,26,38,38,3420,38.0,1,1,194.0,right,49500000.0,2019.0
237,Riyad Mahrez,ALG,MF,Manchester City,28,33,21,1944,21.6,11,9,179.0,left,46200000.0,2019.0
